,time,variable_type,component,subcomponent,value
0,56.52555513381958,inventory_allocations,CA,CA1,16
1,56.52555513381958,inventory_allocations,CA,CA2,13
2,56.52555513381958,inventory_allocations,CA,CA3,5
3,56.52555513381958,inventory_allocations,CA,CA4,15
4,56.52555513381958,inventory_allocations,CA,CA5,7
5,56.52555513381958,inventory_allocations,CA,CA6,16
6,56.52555513381958,inventory_allocations,CA,CA7,11
7,56.52555513381958,inventory_allocations,CA,CA8,16
8,56.52555513381958,inventory_allocations,CB,CB1,12
9,56.52555513381958,inventory_allocations,CB,CB2,65
10,56.52555513381958,inventory_allocations,CB,CB3,23
11,56.52555513381958,inventory_allocations,CC,CC1,3
12,56.52555513381958,inventory_allocations,CC,CC2,23
13,56.52555513381958,inventory_allocations,CC,CC3,8
14,56.52555513381958,inventory_allocations,CC,CC4,16
15,56.52555513381958,inventory_allocations,CC,CC5,11
16,56.52555513381958,inventory_allocations,CC,CC6,21
17,56.52555513381958,inventory_allocations,CC,CC7,18
18,56.52555513381958,inventory_allocations,CD,CD1,6
19,56.52555513381958,inventory_allocations,CD,CD2,17
20,56.52555513381958,inventory_allocations,CD,CD3,39
21,56.52555513381958,inventory_allocations,CD,CD4,1
22,56.52555513381958,inventory_allocations,CD,CD5,23
23,56.52555513381958,inventory_allocations,CD,CD6,14
24,56.52555513381958,inventory_allocations,CE,CE1,1
25,56.52555513381958,inventory_allocations,CE,CE2,5
26,56.52555513381958,inventory_allocations,CE,CE3,12
27,56.52555513381958,inventory_allocations,CE,CE4,3
28,56.52555513381958,inventory_allocations,CE,CE5,1
29,56.52555513381958,inventory_allocations,CE,CE6,19
30,56.52555513381958,inventory_allocations,CE,CE7,13
31,56.52555513381958,inventory_allocations,CE,CE8,20
32,56.52555513381958,inventory_allocations,CE,CE9,26
33,56.52555513381958,reorder_points,CA,CA1,15
34,56.52555513381958,reorder_points,CA,CA2,12
35,56.52555513381958,reorder_points,CA,CA3,4
36,56.52555513381958,reorder_points,CA,CA4,14
37,56.52555513381958,reorder_points,CA,CA5,6
38,56.52555513381958,reorder_points,CA,CA6,15
39,56.52555513381958,reorder_points,CA,CA7,9
40,56.52555513381958,reorder_points,CA,CA8,15
41,56.52555513381958,reorder_points,CB,CB1,11
42,56.52555513381958,reorder_points,CB,CB2,64
43,56.52555513381958,reorder_points,CB,CB3,22
44,56.52555513381958,reorder_points,CC,CC1,2
45,56.52555513381958,reorder_points,CC,CC2,22
46,56.52555513381958,reorder_points,CC,CC3,7
47,56.52555513381958,reorder_points,CC,CC4,15
48,56.52555513381958,reorder_points,CC,CC5,10
49,56.52555513381958,reorder_points,CC,CC6,20
50,56.52555513381958,reorder_points,CC,CC7,17
51,56.52555513381958,reorder_points,CD,CD1,5
52,56.52555513381958,reorder_points,CD,CD2,16
53,56.52555513381958,reorder_points,CD,CD3,38
54,56.52555513381958,reorder_points,CD,CD4,0
55,56.52555513381958,reorder_points,CD,CD5,22
56,56.52555513381958,reorder_points,CD,CD6,13
57,56.52555513381958,reorder_points,CE,CE1,0
58,56.52555513381958,reorder_points,CE,CE2,4
59,56.52555513381958,reorder_points,CE,CE3,11
60,56.52555513381958,reorder_points,CE,CE4,2
61,56.52555513381958,reorder_points,CE,CE5,0
62,56.52555513381958,reorder_points,CE,CE6,18
63,56.52555513381958,reorder_points,CE,CE7,12
64,56.52555513381958,reorder_points,CE,CE8,19
65,56.52555513381958,reorder_points,CE,CE9,25
66,146.353191614151,inventory_allocations,CA,CA1,16
67,146.353191614151,inventory_allocations,CA,CA2,13
68,146.353191614151,inventory_allocations,CA,CA3,5
69,146.353191614151,inventory_allocations,CA,CA4,15
70,146.353191614151,inventory_allocations,CA,CA5,7
71,146.353191614151,inventory_allocations,CA,CA6,16
72,146.353191614151,inventory_allocations,CA,CA7,11
73,146.353191614151,inventory_allocations,CA,CA8,16
74,146.353191614151,inventory_allocations,CB,CB1,12
75,146.353191614151,inventory_allocations,CB,CB2,65
76,146.353191614151,inventory_allocations,CB,CB3,23
77,146.353191614151,inventory_allocations,CC,CC1,3
78,146.353191614151,inventory_allocations,CC,CC2,23
79,146.353191614151,inventory_allocations,CC,CC3,8
